2> Event: Initialized on 54321 with clock rate 4 | System Time: 2025-02-28 19:03:43 | Logical Clock: 0 | Queue Length: 0
2> Event: Connected to machine 1 on port 12345 | System Time: 2025-02-28 19:03:43 | Logical Clock: 0 | Queue Length: 0
2> Event: Connected to machine 3 on port 8080 | System Time: 2025-02-28 19:03:43 | Logical Clock: 0 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:43 | Logical Clock: 2 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:43 | Logical Clock: 3 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:44 | Logical Clock: 4 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:03:44 | Logical Clock: 5 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:03:44 | Logical Clock: 6 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:03:45 | Logical Clock: 7 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:45 | Logical Clock: 10 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:45 | Logical Clock: 12 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:45 | Logical Clock: 13 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:46 | Logical Clock: 15 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:46 | Logical Clock: 16 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:46 | Logical Clock: 16 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:46 | Logical Clock: 17 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:46 | Logical Clock: 17 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:46 | Logical Clock: 18 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:47 | Logical Clock: 20 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:47 | Logical Clock: 22 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:47 | Logical Clock: 23 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:03:47 | Logical Clock: 24 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:48 | Logical Clock: 27 | Queue Length: 1
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:48 | Logical Clock: 28 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:48 | Logical Clock: 29 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:48 | Logical Clock: 30 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:49 | Logical Clock: 34 | Queue Length: 1
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:49 | Logical Clock: 35 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:49 | Logical Clock: 38 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:03:49 | Logical Clock: 39 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:50 | Logical Clock: 40 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:50 | Logical Clock: 41 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:50 | Logical Clock: 41 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:50 | Logical Clock: 42 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:50 | Logical Clock: 42 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:03:50 | Logical Clock: 43 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:51 | Logical Clock: 44 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:03:51 | Logical Clock: 45 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:51 | Logical Clock: 50 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:51 | Logical Clock: 51 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:52 | Logical Clock: 52 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:52 | Logical Clock: 53 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:52 | Logical Clock: 55 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:52 | Logical Clock: 56 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:52 | Logical Clock: 56 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:03:53 | Logical Clock: 57 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:03:53 | Logical Clock: 58 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:53 | Logical Clock: 59 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:53 | Logical Clock: 60 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:03:54 | Logical Clock: 61 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:54 | Logical Clock: 62 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:03:54 | Logical Clock: 63 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:54 | Logical Clock: 68 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:03:55 | Logical Clock: 69 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:55 | Logical Clock: 72 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:55 | Logical Clock: 73 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:56 | Logical Clock: 74 | Queue Length: 2
2> Event: Processed message | System Time: 2025-02-28 19:03:56 | Logical Clock: 75 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:56 | Logical Clock: 77 | Queue Length: 1
2> Event: Internal event | System Time: 2025-02-28 19:03:56 | Logical Clock: 78 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:57 | Logical Clock: 81 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:57 | Logical Clock: 82 | Queue Length: 1
2> Event: Processed message | System Time: 2025-02-28 19:03:57 | Logical Clock: 84 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:57 | Logical Clock: 85 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:58 | Logical Clock: 86 | Queue Length: 1
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:58 | Logical Clock: 87 | Queue Length: 0
2> Event: Sent message to machine 3 | System Time: 2025-02-28 19:03:58 | Logical Clock: 88 | Queue Length: 0
2> Event: Sent message to machine 1 | System Time: 2025-02-28 19:03:58 | Logical Clock: 88 | Queue Length: 0
2> Event: Internal event | System Time: 2025-02-28 19:03:58 | Logical Clock: 89 | Queue Length: 0
2> Event: Processed message | System Time: 2025-02-28 19:03:59 | Logical Clock: 92 | Queue Length: 1
